"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"S2 fibroblasts",5,3,8,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.999990461206455,-0.054,0.999990461206455,"0.485",NA,NA,NA,NA
"Monocyte",7,0,7,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.976159079310623,0.342,0.0937489842365479,"1.567",NA,0.558,0.988150221919057,0.254
"gd T/NK cell",5,1,6,"01_TI_PED_ActiveCD_vs_Control","Control",7,"ActiveCD",5,0.999852162982358,-0.008,0.759150400064307,"0.494",NA,NA,0.654392683446949,-0.832
"myofibroblast",5,1,6,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.906459242373399,0.737,0.545507407054463,"1.552",NA,NA,NA,NA
"Venous endothelial cell",3,3,6,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.768990586461249,0.751,0.95270124600868,"0.451",NA,-0.378,NA,NA
"B cell",4,0,4,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",4,0.999946520860616,0.112,0.614130018424998,"2.153",0.999946520860616,0.188,0.999946520860616,-0.914
"CD4 T cell",2,0,2,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",5,0.999978445849012,0.721,0.999978445849012,"1.349",0.999978445849012,0.704,0.999978445849012,0.114
"cDC2",2,0,2,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.998706584149195,0.551,0.998706584149195,"0.79",0.998706584149195,-0.374,NA,NA
"Paneth cell",2,0,2,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",4,NA,0.054,NA,"0.591",NA,NA,NA,NA
"Macrophage",1,1,2,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",4,0.99646444511542,-0.241,0.99646444511542,"0.844",0.99646444511542,-0.439,NA,NA
"IgA plasma cell",1,0,1,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.999638203283461,-0.347,0.999638203283461,"-0.005",0.999638203283461,-0.19,NA,NA
"Memory B cell",1,0,1,"01_TI_PED_ActiveCD_vs_Control","Control",7,"ActiveCD",5,0.999985909520961,0.014,0.328853667090653,"2.278",0.999985909520961,0.661,0.999985909520961,-0.383
"Arterial endothelial cell",0,0,0,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.997278239242883,0.372,0.898456624481045,"1.151",0.997278239242883,0.507,NA,NA
"BEST4 enterocyte",0,0,0,"01_TI_PED_ActiveCD_vs_Control","Control",7,"ActiveCD",4,0.999907345954712,0.299,0.999907345954712,"-0.938",NA,NA,NA,NA
"IgG plasma cell",0,0,0,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.99915105146149,0.277,0.916011825361215,"1.623",0.99915105146149,-0.12,0.99915105146149,-0.906
"Activated B cell",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
"activated DC",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",3,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"CD8 T cell",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",7,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"cDC1",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"Cycling plasma cell",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"enteroendocrine",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
"Lymphatic endothelial cell",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",7,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"mast cells",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",1,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"pDC",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",2,"ActiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"pericyte",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",7,"ActiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
"Tfh",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",5,"ActiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
"Treg",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",3,NA,NA,NA,NA,NA,NA,NA,NA
"Cycling myeloid cells",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"Glial cell",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",3,NA,NA,NA,NA,NA,NA,NA,NA
"Tuft",NA,NA,NA,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
